id,name,market
1101,台泥,twse
1102,亞泥,twse
1103,嘉泥,twse
1104,環泥,twse
1107,建台,twse
1108,幸福,twse
1109,信大,twse
1110,東泥,twse
1201,味全,twse
1203,味王,twse
1210,大成,twse
1213,大飲,twse
1215,卜蜂,twse
1216,統一,twse
1217,愛之味,twse
1218,泰山,twse
1219,福壽,twse
1220,台榮,twse
1225,福懋油,twse
1227,佳格,twse
1229,聯華,twse
1230,聯成食,twse
1231,聯華食,twse
1232,大統益,twse
1233,天仁,twse
1234,黑松,twse
1235,興泰,twse
1236,宏亞,twse
1240,茂生農經,tpex
1256,鮮活果汁-KY,twse
1258,其祥-KY,tpex
1259,安心,tpex
1262,綠悅-KY,twse
1264,德麥,tpex
1268,漢來美食,tpex
1294,漢田生技,tpex
1295,生合,tpex
1301,台塑,twse
1303,南亞,twse
1304,台聚,twse
1305,華夏,twse
1307,三芳,twse
1308,亞聚,twse
1309,台達化,twse
1310,台苯,twse
1311,福聚,twse
1312,國喬,twse
1313,聯成,twse
1314,中石化,twse
1315,達新,twse
1316,上曜,twse
1319,東陽,twse
1321,大洋,twse
1323,永裕,twse
1324,地球,twse
1325,恆大,twse
1326,台化,twse
1336,台翰,tpex
1337,再生-KY,twse
1338,廣華-KY,twse
1339,昭輝,twse
1340,勝悅-KY,twse
1341,富林-KY,twse
1342,八貫,twse
1402,遠東新,twse
1409,新纖,twse
1410,南染,twse
1413,宏洲,twse
1414,東和,twse
1416,廣豐,twse
1417,嘉裕,twse
1418,東華,twse
1419,新紡,twse
1423,利華,twse
1432,大魯閣,twse
1434,福懋,twse
1435,中福,twse
1436,華友聯,twse
1437,勤益控,twse
1438,三地開發,twse
1439,雋揚,twse
1440,南紡,twse
1441,大東,twse
1442,名軒,twse
1443,立益,twse
1444,力麗,twse
1445,大宇,twse
1446,宏和,twse
1447,力鵬,twse
1449,佳和,twse
1451,年興,twse
1452,宏益,twse
1453,大將,twse
1454,台富,twse
1455,集盛,twse
1456,怡華,twse
1457,宜進,twse
1459,聯發,twse
1460,宏遠,twse
1463,強盛新,twse
1464,得力,twse
1465,偉全,twse
1466,聚隆,twse
1467,南緯,twse
1468,昶和,twse
1469,理隆,twse
1470,大統新創,twse
1471,首利,twse
1472,三洋實業,twse
1473,台南,twse
1474,弘裕,twse
1475,業旺,twse
1476,儒鴻,twse
1477,聚陽,twse
1503,士電,twse
1504,東元,twse
